address,choice,voting_power,timestamp,author_ipfs_hash,reason
0x2Fb07699966C12bF634aEa17fdD91368787f732d,1,1,1712342744,bafkreigmyhrznyffndyoepoezhrdlkdszupc7k4aj2ugifv7xhakthlua4,""
0x59D5c5aAEd725DaB3757a496588570c073220A13,1,1,1712342760,bafkreib7p5wylvddnzf4nvzqnwvfntsn6iul3yxtc5cjr7pvuqmlw5yz6u,""
0x379137c5538C2135f07a5FaF667bC16F969Ef1B3,1,1,1712342766,bafkreigj34xrecc6fsdrudjzkesdiqvuugnbm5liug6a7svevt73uiwd6m,""
0x66a8F076427f056BcCe4a120876db128d75eD39F,1,1,1712342775,bafkreiekw3yspvl7lugu7svot25fjc3itl3ebxjgva4cwfckq2o4ofsj4a,""
0x55Aee7FC4e298071F77Ae5d548D6ea3A112c8e97,1,1,1712342781,bafkreidwcykpe66ufb7kyupsmlycnul32hyoj2kwjlxm2kn3rjw3nnur3y,""
0xDF20a1F00f167695Cce742030f6A19B8d35d2456,1,1,1712342789,bafkreigs762pvgsfo5amoaau35daibrt7odfiwl4be2zbyan3ckqh5cpmy,""
0xB3D96022B637901F7F70d2f11AE9b4EB476797C6,1,1,1712342793,bafkreifr5f3257fhp7pmmskkznhl3oyi6gs27tgfcf6eknpxy5v7t3whpi,""
0xf74F6f727d250B293827479b982cC9c0407E8f41,1,1,1712342802,bafkreihr3jajqt46top7edaggurqytdik6nglqzpnzrnby6jbmt2e2ovcu,""
0xd7656B694b160F3bcF3c9E0336a20FDb49e2Be46,1,1,1712342807,bafkreigkbh6silyci3x3autjbguwuj2ro6ghfoma2thfzc42h2gtcfdakq,""
0x9D631b376f64d3c485Fa83A4707f7eA515771435,1,1,1712342828,bafkreidgiois3fba3j52t7wfpyzarhfv42yvftbswjinfjzco7xnlkgp2u,""
0xd05853EF2A46B9870a7f4B74eDbde22CA96e6a52,1,1,1712342834,bafkreicoculyifkzddcfxtcezizchhgodkvvqy4bzxbld52wvnp5uyrsfe,""
0xf5dE828f747d33eddaF329938b14AC59f82bf5dF,1,1,1712342839,bafkreid7r4swybbne4gd2mtdjrviovgfjv7plnpsvuwe5evegba3v2zdie,""
0xF2b75c578EEd0f7Ffd5018703Cd059AeBd1B4FF8,1,1,1712342843,bafkreibvwwcbq5ogbu53g62tbqfyst4c6ekfzzxme3wroyvfbgzo4mkd7a,""
0xD43097aC87dE4713a7f8F4dB0db9Ba24C04B27a2,1,1,1712342848,bafkreihvpvynwmld7r2je2b7bi42vl7obossi2dyioxed53l54znxq6uni,""
0x364EdA73616B843EbB9A0ab311493d5d6423a288,1,1,1712342856,bafkreigic3jk5du5fs2vv3ugiawxcvrvwgt62wokw2gshxqrhanf6jfc2y,""
0xd7d55935f450999F0a0819A924cbeC708A1Ca802,1,1,1712342874,bafkreiei24jfsqhce6czl6zroksptwaswm6lydu3mcw4z54pyehpttmnwu,""
0xCEbb16D9984b62d580CC1BAFf92142f037E1D9D2,1,1,1712342884,bafkreiczhwfavicgnmvg2cspdm2q3ays7uevmbztwjpy7yjj4cdom6jnke,""
0x2B3262dF910D7D283E9dE44a1475468b1cc504d7,1,1,1712342894,bafkreifx7b47fwmddrm2b5olftxvvxsq2i2tyvlzlkgpwmf2ifirlgnn7i,""
0xaCb2acB46609043A4e39fFd9Da41D03535d0942c,1,1,1712342899,bafkreiecu7cy4r6g3l3sg4mnuyqvgauixfmgpiazzlmtgq2hvfpkm2t5mm,""
0x0141fF0E5Bb7973dDB558caDe7FE9adb9DeBe1d4,1,1,1712342912,bafkreifi3j5hfi3ilkez57mw46kl5h4p2nc7g3h76526y7skjxt62n2c44,""
0xa58725D06794FAD5a552a7b43c6CBfdDeff4556E,1,1,1712342922,bafkreibysnrbnoqabqs2rcutoqhw5pkqwzcbwseikzkwslai4bcsipec2y,""
0xc489E8e8Aff3fbe912c8BE27850B9C6621a8D4e2,1,1,1712342925,bafkreig6supjujgtu6dqzhv73ii6drobvaxcd2fobvnfmlpdxgdw7sfrfm,""
0x8E59499126be6c09Ff473Be07391aD90076257F8,1,1,1712342933,bafkreig6uhfa4kyclafxinbsdbiuyfztxzagrs24tnadqo4kmmlvo4cdma,""
0xBE7fdCA86C8d5861eEC7bCCBcc1645F374d45ED2,1,1,1712342943,bafkreiajdn3erlbtghvqbabqjhtyc4pcewx7wszkhq6wdxm6kxk6hhfopy,""
0xa61Aa333DBeF1deB7a426307E51C24C54Ff24AF8,1,1,1712342963,bafkreidoq3q2kebsd7ux6dy7i5lgubod3wuhd2qs2mtcfn3f3ond7a37wy,""
0x3a3af77b6A0FEEc6903ab3344E5Ee270D15Ff389,1,1,1712342968,bafkreigo2bvzmcshrv4uimglkgmcb7fgp7xh5gcrfiu2rgr6owmuvbh7ey,""
0x3CfdD00110b53868Bc509D7c5F8D8F46B11445B8,1,1,1712342988,bafkreigglk7vrzs7w5zun22etc26d5c26cgmyufdfypewclfbgevknffgu,""
0x0F6a894DD7563a136e08D85810A53213c023CE0a,1,1,1712343004,bafkreihtr764cxo26rygfosx5e5efunlaq2plz4qewoyvfef5zzluwjffy,""
0x86C616C74A1dd9581f4c0F8578CAF0D64fb64EA5,1,1,1712343009,bafkreid72nagz37wekps2gwbrg3ns74kaki27wo3ulpnkmiihe4e67xhhe,""
0x65853f72653A49865DE7FC85c4d64aC536316dE3,1,1,1712343019,bafkreigaa4xnapoisr3jdbsssm5yuyhpcwekidlojrkjqysyfw7u62dx3i,""
0x75f28570Fd1654F416488D84639199d40cC80ff4,1,1,1712343027,bafkreickyi47tbenk3wwgehjmf4xuth3ae5b3iss4qhaxbcvmv5eyzy5hm,""
0x308D90d4fEC182C66Ef28C019B44b9A1829Fb022,1,1,1712343032,bafkreibraxmlbxfomy2micjuyhf7emlf6gmnbgwzm24nn6ga2kbc4znacq,""
0xb18bF3e7aC8A8498744B077EB5330E95Db59b260,1,1,1712343044,bafkreign6rcmeuhwtpltbkdoeexs6rquhdboztjkgjqkorxlf36cxsz234,""
0xf44b05065E82Dc7693855733B620E2806010bcAC,1,1,1712343047,bafkreidoabuviorqyew4jjfjbku2rklxaras45selku4xwq6subg3fxkfy,""
0x9dDF10770D30EDa486A535cc71f282cd7486EB9b,1,1,1712343053,bafkreic3pu7y5e4x2ll6eovucf262b3n4zutdtutwpgkf7iplfud7nmj6m,""
0x59c3d3a1c5a5EB9710163Bd13E75d1cA6A1c670D,1,1,1712343061,bafkreibx3lmy7ospeyxdq3n75vaz7bv6accrfmk2png727kjyvq4ogycke,""
0x880438DDA0699814502717Ab83D04673Fd28bE82,1,1,1712343083,bafkreigh34s2kbbqw7arj7g7aok3rlb64y6pgarhyycoi5yhfbt6jxv3uq,""
0x07DAfF3C827c094ca47EAD047fd3fFA1AB46d37f,1,1,1712343087,bafkreidzeaws3egumfkohr7dwuatbpwiioktvt5ckvl4itcbt6dkmsmzza,""
0x870fEf13Ad97B3a22981f44c4b17F69796Ba9568,1,1,1712343102,bafkreihg5rlj3x6dvam5dh6nezhbss7ii3krlb6dsqckyrffmmqypp6wci,""
0x05e2D9e16b47B464022088227Ec2A8B2d4B85131,1,1,1712343106,bafkreialfv4otrefsszc7vd55frkyuse4qmelfopvlgvwbljnqjoexqijy,""
0x271D94D1a46E0809e883097fAC707D49Bd3765B5,1,1,1712343114,bafkreig6gp4xedcop5fxzfl62nli2yz3kclnwk6kuyi2agmefpfyjhs7bm,""
0x84C7adF9B0fEe2e44fbBb7B6419E263A5349399b,1,1,1712343117,bafkreifjhuvbg6bk4rwapgxxedfu5alaltlgd6wwindep2jmqovwtcs5ny,""
0xc2EF2E6a8eEEAc6a0Ab7bD6990Bb29eC5762CE8a,1,1,1712343122,bafkreibmcvzlcxp6juyefnxnj3kaxpft25etzjlomyllenyfcppcpz47oi,""
0x0D6cc7318eA4b93Ca7be5b903b913bD5cDb0f62f,1,1,1712343130,bafkreidip6vokobyc2fgqhklwb6ejremjnyh6te6kklmayhyafbpsta7xm,""
0xa5cC2ccD28D975dC403D414A5d90C013f53A8Ff9,1,1,1712343139,bafkreihm7nazgwm7adn7bwcqecdx47pm6362whxcj2lqsdxwhe57izglwa,""
0x48f6719A2BDF6257717236E515c397004BF2A835,1,1,1712343147,bafkreienuolo3ixecv2yafif42fdht4tbjj4oi7qj6ztljlxqzjjeavhge,""
0x04Bf56E5835C142aA75fB45d0643ca389DEbfA99,1,1,1712343152,bafkreihiwhy5gb7m42qa4zqqgzu6af4bzrmpujphyz55ytlimvh7gdr6zm,""
0x7cA10f4daE592602d189164e5cf5EF0bAFEAa41F,1,1,1712343162,bafkreifyffoscd53qqavntaixhxdyhtjtgve35irzst4olkig7d2zjq4iu,""
0xF80F4B251B2e7E20450dE7dd8Ce5834A92441AE5,1,1,1712343167,bafkreigcgea7deolw6x2pb2w3m4ccdrpxfpgblru4v2hqgcghlnf4qsdya,""
0x3Bf837f090Db2F65bAAac03D358f4f627448B535,1,1,1712343173,bafkreibksluhktpwdcerz2gkdfxu5h5uml43ahttyyyfhhzgc7h4jdvkoq,""
0x5C5E4BA7f0e0f6b871313009C0B036CD7757c8ef,1,1,1712343176,bafkreie6hgxbylbin4znu2mlpinp7azzilb5nrirax4vnj5kxecg4qif2m,""
